List of Automations,Work Update 20th Jun,Finilization
Deals checking Automation,Done,Done
Pricing automation (skill update),Get Work Update on Mon,Friday
FBA Planning skill update,Get Work Update on Mon,Friday
PLA myntra analyser (skill),To be disscused on Monday,Saturday
First cry ad report analysis,To be disscused Tue,
SJIT stock analysis and recommendation,End of Week/Next Week ,
MNOW stock analysis and recommendation,End of Week/Next Week,
PCA ad analysis,To be disscused on Monday,Monday
History report,,
LV data report,TBD Varun,
PCA daily performance report,TBD Varun,
PLA report preparation,TBD Varun,
First cry report preparation,API Raw Data Tue,
Campaign Budget Automation,TBD with Sumanth and Abdul,
Str & Analysis for Growth,API Raw Data,
Search term Analysis,To be disscused Abdul Skill,
Price Parity with selenium,95% done,Monday